"codbanco";"descricao"
"1";"Banco do Brasil"
"3";"Banco da Amazônia"
"4";"Banco do Nordeste"
"21";"Banestes"
"25";"Banco Alfa"
"27";"Besc"
"29";"Banerj"
"31";"Banco Beg"
"033";"Banco Santander Banespa"
"36";"Banco Bem"
"37";"Banpará"
"38";"Banestado"
"39";"BEP"
"40";"Banco Cargill"
"41";"Banrisul"
"44";"BVA"
"45";"Banco Opportunity"
"47";"Banese"
"62";"Hipercard"
"63";"Ibibank"
"65";"Lemon Bank"
"66";"Banco Morgan Stanley Dean Witter"
"69";"BPN Brasil"
"70";"Banco de Brasília – BRB"
"72";"Banco Rural"
"73";"Banco Popular"
"74";"Banco J. Safra"
"75";"Banco CR2"
"76";"Banco KDB"
"96";"Banco BMF"
"104";"Caixa Econômica Federal"
"107";"Banco BBM"
"116";"Banco Único"
"151";"Nossa Caixa"
"175";"Banco Finasa"
"184";"Banco Itaú BBA"
"204";"American Express Bank"
"208";"Banco Pactual"
"212";"Banco Matone"
"213";"Banco Arbi"
"214";"Banco Dibens"
"217";"Banco Joh Deere"
"218";"Banco Bonsucesso"
"222";"Banco Calyon Brasil"
"224";"Banco Fibra"
"225";"Banco Brascan"
"229";"Banco Cruzeiro"
"230";"Unicard"
"233";"Banco GE Capital"
"237";"Bradesco"
"241";"Banco Clássico"
"243";"Banco Stock Máxima"
"246";"Banco ABC Brasil"
"248";"Banco Boavista Interatlântico"
"249";"Investcred Unibanco"
"250";"Banco Schahin"
"252";"Fininvest"
"254";"Paraná Banco"
"263";"Banco Cacique"
"265";"Banco Fator"
"266";"Banco Cédula"
"300";"Banco de la Nación Argentina"
"318";"Banco BMG"
"320";"Banco Industrial e Comercial"
"341";"Itau"
"347";"Sudameris"
"351";"Banco Santander"
"353";"Banco Santander Brasil"
"356";"ABN Amro Real "
"366";"Banco Societe Generale Brasil"
"370";"Banco WestLB"
"376";"JP Morgan"
"389";"Banco Mercantil do Brasil"
"394";"Banco Mercantil de Crédito"
"399";"HSBC"
"409";"Unibanco"
"412";"Banco Capital"
"422";"Banco Safra"
"453";"Banco Rural"
"456";"Banco Tokyo Mitsubishi UFJ"
"464";"Banco Sumitomo Mitsui Brasileiro"
"477";"Citibank"
"479";"Itaubank (antigo Bank Boston)"
"487";"Deutsche Bank"
"488";"Banco Morgan Guaranty"
"492";"Banco NMB Postbank"
"494";"Banco la República Oriental del Uruguay"
"495";"Banco La Provincia de Buenos Aires"
"505";"Banco Credit Suisse"
"600";"Banco Luso Brasileiro"
"604";"Banco Industrial"
"610";"Banco VR"
"611";"Banco Paulista"
"612";"Banco Guanabara"
"613";"Banco Pecunia"
"623";"Banco Panamericano"
"626";"Banco Ficsa"
"630";"Banco Intercap"
"633";"Banco Rendimento"
"634";"Banco Triângulo"
"637";"Banco Sofisa"
"638";"Banco Prosper"
"643";"Banco Pine"
"652";"Itaú Holding Financeira"
"653";"Banco Indusval"
"654";"Banco A.J. Renner"
"655";"Banco Votorantim"
"707";"Banco Daycoval"
"719";"Banif"
"721";"Banco Credibel"
"734";"Banco Gerdau"
"735";"Banco Pottencial"
"738";"Banco Morada"
"739";"Banco Galvão de Negócios"
"740";"Banco Barclays"
"741";"BRP"
"743";"Banco Semear"
"745";"Banco Citibank"
"746";"Banco Modal"
"747";"Banco Rabobank International"
"748";"Banco Cooperativo Sicredi"
"749";"Banco Simples"
"751";"Dresdner Bank"
"752";"BNP Paribas"
"753";"Banco Comercial Uruguai"
"755";"Banco Merrill Lynch"
"756";"Banco Cooperativo do Brasil"
"757";"KEB"
